id,path_d
laichau,"M4730.92 3164.42l0 -62.86 0 -6.25 0 -36.38 -49.57 -36.36 -120.36 0 -70.81 0 -31.85 -32.74 0 -36.37 -21.24 -32.74 38.93 -54.55 0 -72.75 -17.69 -50.92 -21.24 -36.37 -31.86 -18.18 31.86 -18.2 -67.26 18.2 -31.87 -32.74 -35.4 -40.02 -35.4 -138.21 -17.71 -54.56 -31.85 -18.19 -38.95 -32.73 -31.85 0 -53.1 32.73 -49.57 72.75 -138.06 123.67 -31.86 87.3 -21.24 54.55 -17.71 14.55 -49.56 21.82 -70.8 87.3 -49.56 32.72 -35.4 21.83 -35.4 -21.83 -31.86 -18.17 -35.4 -50.93 -17.71 -36.37 -102.66 -138.21 -49.56 -54.56 -208.86 -160.04 -120.37 -50.93 -35.41 0 -31.85 0 -53.1 14.55 -53.11 141.86 -49.56 54.56 -35.4 36.37 -73.21 92.71c117.61,99.79 316.32,310.81 326.5,310.81 47.49,0 75.76,18.29 113.6,-27.05 78.51,12.39 66.01,93.02 141.04,182.74 11.44,13.67 61.66,123.78 131.89,115.36 8.45,10.15 213.93,68.75 267.04,92.05 41.74,18.31 141.05,16.78 195.92,-22.8 29.83,-21.53 167,58.67 179.31,24.87 8.12,-22.29 116.78,-312.88 216.59,38.52 10.07,35.43 73.5,88.97 121.14,133.93l-1.98 11.82 70.8 18.19 31.85 32.73 70.81 90.93 67.26 87.3 53.1 87.29 0 21.83 31.87 50.92 53.09 50.92 134.53 40.01 0 -54.56 21.24 -54.56 0 -18.18 0 -50.93 -21.24 -36.37 -14.16 -50.92 0 -21.82 14.16 -32.74 21.24 -36.38 49.56 -18.18 14.58 3c-21.48,-93.45 -117.24,-228.24 -188.75,-278.46 -27.43,-19.26 -104.26,-178.52 -66.55,-255.58z"
dienbien,"M3136.58 3013.49c-37.84,45.34 -66.11,27.05 -113.6,27.05 -10.18,0 -208.89,-211.02 -326.5,-310.81l-79.01 100.06 -35.4 18.2 -70.81 18.18 -31.85 14.55 -35.41 18.17 0 36.38 17.7 54.56 35.4 69.1 67.26 87.31 84.97 109.11 53.09 18.19 53.12 105.47 49.55 50.93 67.27 54.56 53.09 87.29 35.41 54.57 31.85 50.92 35.41 18.18 17.7 36.37 53.1 123.67 31.86 141.86 35.4 87.28 31.86 18.2 35.41 -18.2 70.8 -87.28 35.39 -141.86 17.71 -18.18 14.16 -18.19 35.4 0 0 18.19 0 69.1 0 54.56 35.4 0 35.41 36.38 31.85 18.18 17.71 0 17.69 54.56 -17.69 101.85 -17.71 90.93 -17.7 32.73 -67.26 109.11 0 14.55 17.7 0 35.41 -14.55 31.85 0 0 14.55 0 36.38 -31.85 36.38 -35.41 54.55 -70.8 32.73 -53.11 90.94 0 32.74 0 18.18 70.82 18.18 17.69 18.19 17.7 32.74 53.11 54.57 31.85 105.47 17.71 18.19 35.4 18.18 67.26 69.11 35.4 69.1 17.69 40.03 17.71 50.91 14.16 36.37 35.4 36.38 17.7 14.55 53.11 0 14.15 0 0 -14.55 70.81 -123.66 14.16 0 21.24 -40.03 0 -69.1 0 -18.18 17.7 -14.55 14.16 0 17.7 0 53.1 14.55 49.57 18.18 38.93 0 0 -32.73 -21.24 -72.75 0 -36.37 35.41 -14.56 31.85 -87.28 0 -21.83 21.24 -32.74 -21.24 -54.55 0 -32.74 -67.26 -72.75 -17.69 -36.37 -14.16 0 0 -14.55 0 -40.01 31.85 -32.73 21.24 0 84.97 32.73 14.17 0 17.68 0 0 -69.11 -17.68 -87.29 35.39 -18.18 17.7 0 53.1 -36.38 14.16 -32.73 0 -36.38 35.41 -87.29 17.7 -69.11 -67.27 -214.6 -35.4 -141.86 84.97 -123.66 1.98 -11.82c-47.64,-44.96 -111.07,-98.5 -121.14,-133.93 -99.81,-351.4 -208.47,-60.81 -216.59,-38.52 -12.31,33.8 -149.48,-46.4 -179.31,-24.87 -54.87,39.58 -154.18,41.11 -195.92,22.8 -53.11,-23.3 -258.59,-81.9 -267.04,-92.05 -70.23,8.42 -120.45,-101.69 -131.89,-115.36 -75.03,-89.72 -62.53,-170.35 -141.04,-182.74z"
laocai,"M4730.92 3164.42c-37.71,77.06 39.12,236.32 66.55,255.58 71.51,50.22 167.27,185.01 188.75,278.46l73.93 15.18 67.26 36.38 31.85 32.74 53.11 36.37 53.1 18.19 31.87 -18.19 35.39 -36.37 70.8 -32.74 53.1 0 49.57 32.74 70.8 21.82 31.86 0 17.71 -109.12 0 -69.1 -17.71 -36.38 -17.7 -36.38 17.7 -69.1 17.71 -18.18 102.65 0 31.87 0 88.5 18.18 53.1 -18.18 17.7 -18.19 14.16 -50.92 0 -54.56 -31.86 -36.37 -17.7 -32.74 -35.4 14.55 -17.7 -14.55 35.41 -72.74 -17.71 -54.56 0 -14.55 -88.5 -109.12 -31.87 -14.54 -35.39 -54.57 -17.71 -54.57 0 -32.72 0 -18.18 38.95 -69.12 -70.8 -109.12 0 -32.73 0 -109.11 -67.27 18.18 -53.1 -18.18 -35.4 -50.93 -31.87 -87.3 -38.93 0 -134.53 0 -35.4 14.55 -17.69 18.19 -49.58 18.19 -35.39 72.75 -35.4 69.1 0 18.19 -17.71 36.37 -17.69 69.11 0 72.74 -14.16 50.92 -21.24 18.2 0 18.18 -49.57 14.55 -35.4 -32.73 -31.86 -36.38 -53.1 -32.74 -53.11 -72.74 -31.85 -50.92 -53.1 -127.3 -49.57 -50.93 -70.8 -72.75 -35.4 -14.55 -31.86 0 -35.4 14.55 0 54.56 -17.71 54.57 -53.09 156.39 -31.86 18.2 31.86 18.18 21.24 36.37 17.69 50.92 0 72.75 -38.93 54.55 21.24 32.74 0 36.37 31.85 32.74 70.81 0 120.36 0 49.57 36.36 0 36.38 0 69.11z"
hagiang,"M6674.44 2742.5c30.91,-64.38 55.71,-161.29 79.31,-210.27 18.2,-37.75 -55.55,-102.5 -19.53,-203.98 55.42,-156.17 120,85.5 166.78,43.25l31.86 -90.93 106.21 -69.1 31.85 -36.38 53.12 18.19 49.55 0 35.41 -18.19 17.69 -36.38 31.87 -101.84 17.7 0 35.39 -54.55 17.71 0 -17.71 -72.76 -35.39 -36.37 -67.26 -32.73 0 -18.18 -17.7 -36.38 -84.97 -141.86 0 -14.54 -88.5 -72.74 -31.86 -18.19 -70.8 18.19 -14.17 18.17 0 18.19 -35.4 87.3 -17.69 18.19 -35.41 18.19 -155.77 32.72 -120.35 54.56 -31.87 18.2 -67.26 18.18 -70.8 18.19 -35.4 36.36 -35.4 32.74 -31.87 54.57 -17.7 54.55 17.7 47.29 -17.7 109.12 0 36.36 -67.26 72.76 -21.24 32.73 -31.86 36.37 -84.96 18.18 -70.8 -18.18 -102.66 18.18 -35.41 14.56 -17.71 36.37 -99.11 50.92 -70.8 36.38 0 109.11 0 32.73 70.8 109.12 -38.95 69.12 0 18.18 0 32.74 17.71 54.55 35.39 54.57 31.87 14.54 88.5 109.12 0 14.55 17.71 54.56 -35.41 72.74 17.7 14.55 35.4 -14.55 17.7 -18.19 17.7 -21.81 49.57 21.81 70.8 69.11 31.85 54.57 35.41 18.18 84.96 14.54 53.1 0 17.7 -14.54 14.17 14.54 17.7 -14.54 35.4 -36.37 17.7 -54.56 17.7 -18.19 -17.7 -54.55 17.7 -32.74 49.56 -36.38 21.24 -18.18 67.26 40.01 67.26 -21.83 0 -18.18 35.41 -87.29 17.7 0 0 -36.38 31.85 -123.66 0 -32.74 17.71 -123.67z"
tuyenquang,"M6753.75 2532.23c-23.6,48.98 -48.4,145.89 -79.31,210.27l-17.71 123.67 0 32.74 -31.85 123.66 0 36.38 -17.7 0 -35.41 87.29 0 18.18 -67.26 21.83 -67.26 -40.01 -21.24 18.18 -49.56 36.38 -17.7 32.74 17.7 54.55 -17.7 18.19 -17.7 54.56 -35.4 36.37 -17.7 14.54 0 36.38 0 18.19 17.7 72.73 120.36 123.68 21.24 32.73 0 18.18 14.16 18.19 17.7 72.75 53.1 87.29 31.86 36.38 35.4 69.11 17.71 72.74 17.7 0 17.7 14.54 14.15 54.57 70.81 50.92 53.1 50.93 0 40 0 14.55 0 18.19 14.16 18.19 35.4 36.37 0 14.54 35.4 54.56 35.4 54.57 116.83 -18.19 70.8 -36.38 102.67 -54.55 0 -32.74 -53.11 -178.22 35.4 -18.19 17.71 -192.78 0 -69.11 0 -54.55 17.7 -54.56 -35.41 -32.74 0 -54.56 -35.4 -18.18 -14.15 -69.11 -17.71 -36.38 0 -105.47 -17.7 0 0 -54.57 0 -14.54 0 -123.67 35.41 -72.74 152.22 -192.77 21.24 -127.31 0 -32.73 -21.24 -18.2 0 -18.18 -31.87 -32.74 -53.09 -90.92 0 -50.93 -17.71 -54.56 -67.26 -69.1 -155.76 -90.94 -49.57 -50.92c-46.78,42.25 -111.36,-199.42 -166.78,-43.25 -36.02,101.48 37.73,166.23 19.53,203.98z"
backan,"M7533.71 3748.91c-1.62,8.51 -2.64,18.94 -2.64,32.08 0,38.03 0.64,42.89 5.57,78.91 6.88,50.22 -18.75,83.68 -39.83,126.86 -17.68,36.24 -21.61,46.06 10.5,37.62 7.83,-2.05 69.8,-37.39 82.13,-43.92 44.77,-23.67 162.23,-61.02 196.71,-71.52 24.75,-7.54 84.75,7.83 114.27,-15.96 11.58,-9.34 34.29,-12.89 57.32,-19.3 7.15,-1.99 14.34,-4.26 21.23,-7.07l19.47 -11.11 -17.71 -90.93 17.71 -87.29 21.24 -36.38 99.13 -101.85 53.1 -72.73 17.7 -87.31 0 -123.66 -53.11 -109.11 -17.69 -14.55 0 -18.19 -31.87 18.19 -35.41 -18.19 -17.68 -36.37 -14.17 -18.2 0 -50.9 -38.95 -54.57 -49.55 0 -120.37 69.11 -17.69 0 -67.27 0 -70.8 -14.54 -31.86 -18.2 -53.11 -36.37 -14.15 -32.74 0 -40 14.15 -69.11 31.87 -54.56 21.24 -14.55 -21.24 -36.37 -67.26 0 -138.07 50.92 -49.56 36.37 -70.8 18.19 0 18.18 21.24 18.2 0 32.73 -21.24 127.31 -152.22 192.77 -35.41 72.74 0 123.67 0 14.54 0 54.57 17.7 0 0 105.47 17.71 36.38 14.15 69.11 35.4 18.18 0 54.56 35.41 32.74 -17.7 54.56 67.26 -54.56 17.7 -32.74 21.24 -36.38 99.12 0 17.7 0 53.11 -18.18 35.39 18.18 30.89 35.27z"
thainguyen,"M7589.44 3980.46c-12.33,6.53 -74.3,41.87 -82.13,43.92 -32.11,8.44 -28.18,-1.38 -10.5,-37.62 21.08,-43.18 46.71,-76.64 39.83,-126.86 -4.93,-36.02 -5.57,-40.88 -5.57,-78.91 0,-13.14 1.02,-23.57 2.64,-32.08l-30.89 -35.27 -35.39 -18.18 -53.11 18.18 -17.7 0 -99.12 0 -21.24 36.38 -17.7 32.74 -67.26 54.56 0 54.55 0 69.11 -17.71 192.78 -35.4 18.19 53.11 178.22 17.7 18.19 102.65 105.48 35.41 72.74 35.4 14.55 31.86 54.56 53.1 0 17.7 18.19 49.56 0 53.1 50.92 53.11 72.74 49.56 14.55 35.4 -32.74 134.53 -123.66 21.24 -109.12 14.16 -156.4 17.69 -18.18 35.41 0 49.56 -18.19 35.41 18.19 0 36.37 17.68 36.36 14.17 -36.36 21.24 0 17.71 0 14.16 -18.19 17.69 -36.37 70.81 -72.75 17.69 -14.55 0 -36.37 -17.69 -18.18 -17.7 -18.19 -70.8 0 -14.16 -14.55 -53.12 0 -17.68 -36.37 -14.17 -87.3 0 -54.56 -21.24 -105.48 -19.47 11.11c-6.89,2.81 -14.08,5.08 -21.23,7.07 -23.03,6.41 -45.74,9.96 -57.32,19.3 -29.52,23.79 -89.52,8.42 -114.27,15.96 -34.48,10.5 -151.94,47.85 -196.71,71.52z"
quangninh,M8568.39 5252.21l35.41 0 84.97 14.55 191.16 54.56 0 -32.73 49.56 32.73 17.7 0 31.86 0 21.24 36.38 0 18.18 -21.24 0 -31.86 36.37 0 32.73 0 18.19 0 36.38 0 32.73 17.7 21.83 14.16 14.54 21.24 0 14.17 0 17.7 0 17.69 -14.54 0 -54.56 49.57 -54.57 -14.16 -54.55 14.16 0 17.69 0 88.51 40 17.7 14.55 14.16 0 70.8 -32.73 0 -21.82 -17.7 -14.55 17.7 -18.18 0 -36.38 35.4 -18.18 14.17 18.18 84.96 -32.73 21.24 32.73 14.15 18.19 -14.15 18.19 14.15 32.73 0 21.82 17.71 18.18 53.09 0 31.87 -40 53.1 -69.11 102.67 -18.18 35.4 -36.38 35.4 -32.73 31.86 -69.1 -17.7 -18.2 17.7 -21.83 -17.7 -32.73 -31.87 -87.28 0 -36.38 0 -36.38 17.71 -32.74 31.86 0 53.1 14.56 14.16 -14.56 21.24 -54.54 17.71 0 84.96 36.36 17.69 0 17.7 -54.56 14.17 0 17.71 18.2 0 18.18 35.39 36.36 17.7 0 0 -18.18 -17.7 -69.1 17.7 0 14.17 14.54 38.93 -14.54 14.16 0 0 -40.02 53.11 -50.92 53.09 -36.37 84.97 -14.55 0 -36.37 0 -36.38 14.16 -18.19 21.24 -18.18 31.86 18.18 53.11 0 17.69 -32.73 14.16 0 21.25 14.55 0 18.18 14.16 54.57 17.69 0 35.41 0 31.86 -18.19 0 18.19 53.1 0 35.4 -18.19 35.4 -18.19 -17.7 -36.37 17.7 -14.55 -17.7 -54.55 -120.36 -36.38 -35.41 -18.19 -49.55 -69.1 -21.25 -18.19 -84.96 -54.56 -31.86 0 -88.5 18.19 -205.33 69.11 -70.8 0 -31.87 -14.55 -17.69 -18.19 -53.11 -18.18 -49.56 0 -53.1 18.18 -14.16 18.19 -53.1 0 -84.97 14.55 -120.35 36.36 -53.12 36.38 0 36.38 0 14.54 0 54.56 31.87 36.37 21.25 36.38 0 87.29 -38.95 18.18 -14.17 0 -35.39 0 -138.07 0 -67.26 32.74 -17.7 40.02 -84.96 120.02 0 18.19 -67.27 72.75 -88.5 32.73 -70.8 21.82 -152.22 -21.82 -17.7 0 -102.67 -18.18 -84.95 -50.93 -17.71 36.38 -53.11 14.55 -35.39 18.18 -17.7 36.37 -14.17 18.19 0 69.11 31.87 36.37 53.09 36.37zm1840.87 -461.93l-84.97 36.37 -21.23 18.2 0 36.36 35.4 0 35.4 -18.18 35.4 -18.18 14.16 -32.74 -14.16 -21.83zm-534.56 621.97l-35.4 0 -31.86 32.73 -17.71 18.19 0 18.19 17.71 18.19 14.16 0 53.1 -36.38 0 -32.74 0 -18.18zm-14.16 -480.12l-38.94 54.56 0 36.38 38.94 -18.18 31.86 -36.38 0 -18.19 -31.86 -18.19zm463.75 389.19l-21.23 36.38 21.23 32.73 0 21.82 0 32.73 31.87 -32.73 0 -54.55 0 -36.38 -31.87 0zm138.06 -32.73l-38.93 32.73 -14.16 54.56 0 14.55 14.16 0 21.24 0 31.86 -50.92 0 -18.19 0 -18.18 -14.17 -14.55zm-414.19 101.84l-35.39 72.74 -35.41 36.38 -31.85 18.19 -17.71 87.28 0 18.19 17.71 0 67.26 -90.93 53.09 -87.3 0 -14.55 -17.7 -40zm-53.09 -87.29l-49.56 109.11 -53.11 50.92 -17.7 18.19 31.86 18.19 53.1 -18.19 35.41 -50.93 17.7 -40 0 -87.29 -17.7 0zm191.16 -138.21l-35.4 14.54 -35.41 18.19 -49.56 54.55 0 36.38 0 69.11 14.17 18.18 17.71 -54.56 17.68 -18.18 17.71 -36.38 17.7 -14.55 53.1 -36.37 0 -36.37 0 -14.54 -17.7 0zm-240.72 -250.98l-17.71 18.18 0 18.19 17.71 36.37 0 18.2 0 18.18 -17.71 14.55 -21.24 0 0 18.18 -46.02 123.67 -21.24 18.19 0 18.18 21.24 36.37 14.16 0 53.1 0 67.27 -72.74 70.79 -87.3 49.56 -36.37 17.71 -32.73 -53.1 14.55 -31.87 0 -17.69 -14.55 -17.7 -72.75 -17.7 -36.37 -49.56 0zm754.03 -192.78l-138.06 18.18 -31.85 0 -17.7 18.19 -17.71 14.55 0 18.19 0 21.83 17.71 14.54 35.39 -14.54 35.41 -21.83 67.26 21.83 17.7 -21.83 14.16 -18.19 17.69 -50.92zm-343.38 531.04l-17.7 14.55 0 21.83 17.7 14.55 17.7 0 17.69 -14.55 -17.69 -21.83 -17.7 -14.55zm-584.12 138.22l-49.57 40 -21.24 14.55 21.24 18.19 49.57 -18.19 17.69 -14.55 0 -18.18 -17.69 -21.82zm842.54 -720.18l-17.69 14.55 -14.16 18.19 14.16 0 35.39 0 17.71 -18.19 -35.41 -14.55z
haiphong,M8412.63 5746.88l0 18.18 0 32.74 0 36.38 49.57 54.55 53.1 18.19 53.09 0 67.27 -36.36 35.4 0 49.56 18.17 0 32.73 35.41 -32.73 35.39 -18.17 35.41 -18.2 31.86 -54.56 21.24 -14.55 67.26 14.55 53.1 -14.55 14.17 -18.19 0 -36.37 -14.17 -18.17 -35.4 -14.57 -35.4 0 -35.4 -21.81 -14.16 -32.74 0 -18.19 0 -36.37 49.56 54.56 17.7 0 17.7 -18.19 -53.1 -69.1 0 -72.75 0 -90.93 0 -50.92 -31.86 -18.19 -191.16 -54.56 -84.97 -14.55 -35.41 0 35.41 14.55 17.71 21.83 14.15 32.73 -14.15 54.56 -53.12 54.55 0 32.74 0 90.94 -17.7 50.91 -35.39 90.93 -102.67 50.93zm739.89 -192.77l-14.17 32.73 0 36.37 31.87 50.93 35.4 36.38 49.57 18.17 17.69 36.37 53.11 18.19 17.69 -18.19 0 -69.11 31.86 -21.81 0 -18.19 0 -14.55 -17.69 -36.38 -14.17 0 -35.4 0 0 -36.37 -35.4 -14.54 -17.69 0 -31.87 0 -38.94 0 -14.16 -21.83 -17.7 21.83zm-152.23 14.54l31.87 72.75 35.39 14.55 17.71 -14.55 0 -36.38 -17.71 -36.37 -17.7 -14.54 -17.69 14.54 -17.7 0 -14.17 0z
vinhphuc,"M7432.02 4757.54l-17.7 -87.29 0 -54.56 -31.86 -54.56 -35.4 -14.55 -35.41 -72.74 -102.65 -105.48 -17.7 -18.19 0 32.74 -102.67 54.55 -70.8 36.38 -116.83 18.19 0 69.1 14.17 36.37 17.69 18.19 84.97 105.48 0 36.37 21.24 14.55 0 40.02 0 32.74 31.85 54.54 35.41 32.74 53.1 36.38 31.87 0 53.09 18.18 53.11 -18.18 14.15 0 35.41 -36.38c10.94,-12.28 80.65,24.37 106.24,32.91l-3.58 -14.72 0 -138.21 -17.7 -54.57z"
